bench,unit,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num_initial,1,2,3,4,5,6,7,8,9,10,11,12,13,hydrop,abs,veg,slakevalue,torvane,ugPO4,TotN,TotC,C_N,ugNH4,ugNO3
1,1,1,O,B1,B2,0,0,BB,2,1,59,59,58,57,56,55,54,53,53,52,51,51,50,0,0,LC,5,1.2,NA,NA,NA,NA,NA,NA
1,2,1,C,0,B2,L1,L2,BLL,3,2,77,77,76,76,76,75,75,74,74,74,73,73,72,1,6,DC_M,6,2.7,2.12401637,0.0523,1.6304,31.1487,1.494177783,0.139199519
1,3,1,O,0,0,L1,L2,LL,2,1,43,41,40,39,38,37,36,35,34,33,33,32,31,0,0,0,1,1.15,3.763273161,0.0262,0.2091,7.9731,1.030515735,0.160640015
1,4,1,O,0,0,0,L2,L,1,1,60,59,58,57,56,54,54,53,52,51,51,50,49,0,0,LC,6,1,4.266418642,0.0253,0.2343,9.265,1.132556705,0.134543845
1,5,3,C,0,B2,L1,0,BL,2,2,89,87,86,86,85,84,83,83,82,81,80,79,79,0,4,LC_M,6,2.6,1.186535829,0.0597,1.7066,28.565,3.229967233,0.409102304
1,6,3,O,0,B2,0,L2,BL,2,2,66,65,64,63,62,61,60,59,58,57,56,55,54,0,0,0,5,1.1,1.795680629,0.0249,0.2438,9.7943,1.330897908,0.076915729
1,7,1,O,B1,0,L1,L2,BLL,3,2,66,64,62,60,59,58,57,55,55,54,53,52,51,0,0,LC,3,1.2,2.682179063,0.0227,0.1891,8.3379,1.176257289,-0.039015426
1,8,1,C,B1,0,L1,0,BL,2,2,64,62,60,58,56,54,52,51,49,48,46,45,44,0,1,LC_M,6,0.5,1.743038442,0.0539,1.5579,28.9125,1.38536969,0.066319201
1,9,1,O,B1,B2,L1,0,BBL,3,2,63,62,61,60,60,60,59,58,57,56,56,56,55,0,0,LC,2,0.2,0.272471261,0.0257,0.2595,10.0913,2.72907947,0.014995979
1,10,3,O,0,0,0,0,O,0,0,79,79,78,77,77,76,75,74,72,70,69,68,68,1,8,0,2,0,1.790463317,0.0309,0.303,9.7935,1.041064392,0.109341404
1,11,1,O,B1,0,0,0,B,1,1,31,30,30,29,28,28,27,26,25,25,25,24,24,0,1,DC,6,0,2.614499669,0.0237,0.2236,9.4523,1.031049091,0.079866392
1,12,1,C,0,0,0,0,O,0,0,51,46,43,40,38,36,34,33,31,29,28,27,25,1,NA,0,3,0.2,2.701144131,0.0424,1.5063,35.5465,0.655622931,0.287638195
1,13,3,O,0,B2,0,0,B,1,1,59,57,56,55,54,53,53,52,51,50,49,48,48,0,2,0,6,1.6,2.590681179,0.0269,0.2563,9.5299,1.138079694,0.065947237
