"date","bench","water","origin","unit","species_combo","spp_num","B1","B2","L1","L2","richness","total_cover","reps","slakevalue","torvane","ugPO4","TotN","TotC","ugNH4","ugNO3"
"2017_07_04",1,1,"C",2,"0_B2_L1_L2",3,1.6,1,6.2,0,0,8.8,1,6,"2.7",2.12401637,0.0523,1.6304,1.494177783,0.139199519
"2017_07_04",1,1,"C",8,"B1_0_L1_0",2,0,2.6,3.4,0,0,6,1,6,"0.5",1.743038442,0.0539,1.5579,1.38536969,0.066319201
"2017_07_04",1,1,"C",12,"0_0_0_0",0,0,0,0.6,0,0,0.6,1,3,"0.2",2.701144131,0.0424,1.5063,0.655622931,0.287638195
"2017_07_04",1,1,"C",21,"B1_B2_0_L2",3,0.6,4.2,0,0,0,4.8,1,6,"2.5",1.708679235,0.0486,1.6121,2.099994746,0.163175422
"2017_07_04",1,1,"C",25,"B1_0_L1_L2",3,0,3.6,2.2,0.6,0,6.4,1,6,"1.5",1.472616936,0.0507,1.6404,2.069883465,-0.036826123
"2017_07_04",1,1,"C",30,"0_0_L1_L2",2,0,0,16.2,0,0,16.2,1,5,"1",0.561029468,0.0535,1.5816,1.80822132,0.138642077
"2017_07_04",1,1,"C",37,"0_0_L1_0",1,0,0,9.8,0,0,9.8,1,6,"1.5",1.156770844,0.0516,1.5902,0.784749924,-0.022133961
"2017_07_04",1,1,"C",57,"0_0_0_L2",1,0,0,0,1.2,0,1.2,2,5,"0.5",1.052467163,0.0505,1.564,4.324610846,0.129577805
"2017_07_04",1,1,"C",63,"0_B2_0_0",1,6.2,0,0,0,0,6.2,2,6,"1",1.498801291,0.0545,1.6923,7.925560655,0.098488981
"2017_07_04",1,1,"C",71,"B1_B2_0_0",2,0,33.4,0,0,0,33.4,2,6,"2.5",2.498118808,0.0478,1.5835,1.462375129,0.134147516
"2017_07_04",1,1,"C",92,"B1_B2_L1_L2",4,0,2.4,2.2,0,0,4.6,1,6,"2.75",1.3253609,0.0405,1.3515,1.230401727,0.157853205
"2017_07_04",1,1,"C",110,"B1_0_0_L2",2,0,23.6,0,0,0,23.6,2,6,"2",2.221742443,0.0401,1.3057,0.996001967,0.243469799
"2017_07_04",1,1,"C",113,"B1_0_0_0",1,0,11.6,0,0,0,11.6,2,5,"2.2",1.919671587,0.0429,1.2579,1.218521796,0.187302044
