date,bench,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num,unit,frame,B1_Liv1,B2_Liv2,B1_Bry,B2_Syn,B1,B2,L2,L1,GA,Nostoc,DC,LC,Moss_unk,Mold,Peltula,Funaria,Moss,Volvox,Liv_unk
2016_12_16,1,1,O,B1,B2,0,0,BB,2,1,1,1,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,0,0,BB,2,1,1,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,0,0,BB,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2016_12_16,1,1,O,B1,B2,0,0,BB,2,1,1,4,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,0,0,BB,2,1,1,5,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,B2,L1,L2,BLL,3,2,2,1,0,0,20,0,20,0,5,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,B2,L1,L2,BLL,3,2,2,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,B2,L1,L2,BLL,3,2,2,3,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,B2,L1,L2,BLL,3,2,2,4,0,0,15,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,B2,L1,L2,BLL,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,L1,L2,LL,2,1,3,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,L1,L2,LL,2,1,3,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,L1,L2,LL,2,1,3,3,0,0,25,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,L1,L2,LL,2,1,3,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,L1,L2,LL,2,1,3,5,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,L2,L,1,1,4,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,L2,L,1,1,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,L2,L,1,1,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,L2,L,1,1,4,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,L2,L,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,5,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,5,2,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,5,3,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,5,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,C,0,B2,L1,0,BL,2,2,5,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,6,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,6,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,6,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,6,4,0,2,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,B2,0,L2,BL,2,2,6,5,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,L1,L2,BLL,3,2,7,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,L1,L2,BLL,3,2,7,2,2,8,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,L1,L2,BLL,3,2,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,L1,L2,BLL,3,2,7,4,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,L1,L2,BLL,3,2,7,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,0,BL,2,2,8,1,0,0,0,NA,0,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,0,BL,2,2,8,2,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,0,BL,2,2,8,3,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,0,BL,2,2,8,4,0,0,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,0,L1,0,BL,2,2,8,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,B2,L1,0,BBL,3,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,0,0,0,0,O,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
